timestamp_utc,voice_language,input_text,intent,detail,reply_preview,latency_s,status,note
2026-05-14T07:46:27Z,en,what is computer science,none,,"I didn't match a system command. You can say: set a timer, take a screenshot, open YouTube, or search the web.",0.006897,no_match,no_match
2026-05-14T08:20:29Z,en,open YouTube,session_youtube,youtube,Automation is running on YouTube.,4.026085,ok,
2026-05-14T08:20:47Z,en,search Justin Bieber daisies,session_search,ok,Done.,3.557205,ok,session_mode
2026-05-14T08:21:27Z,en,pause video,session_pause,ok,Paused.,0.091267,ok,session_mode
2026-05-14T08:21:35Z,en,play video,session_resume,ok,Resumed.,0.000989,ok,session_mode
2026-05-14T08:21:42Z,en,stop automation,session_stop,,Session stopped.,0.173155,ok,session_mode
2026-05-14T08:55:26Z,en,take screenshot,screenshot,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\System\screenshots\capture_20260514_165526.png,Screenshot saved.,0.143495,ok,
2026-05-14T08:57:32Z,zh,你好请帮我打开油管,session_youtube,youtube,自动化运行中在 YouTube ,3.710649,ok,
2026-05-14T08:57:49Z,zh,search 周杰伦稻香,session_search,ok,完成。,3.581772,ok,session_mode
2026-05-14T08:58:03Z,zh,play first,session_play_first,ok,正在播放第一个视频。,1.646013,ok,session_mode
2026-05-14T08:58:21Z,zh,pause video,session_pause,ok,已暂停。,0.027980,ok,session_mode
2026-05-14T08:58:40Z,zh,play video,session_resume,ok,已继续播放。,0.001114,ok,session_mode
2026-05-14T08:58:50Z,zh,stop automation,session_stop,,已结束会话。,0.088775,ok,session_mode
2026-05-14T08:59:09Z,en,hi there please open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.282342,ok,
2026-05-14T08:59:20Z,en,select third chat,session_select_chat_index,ok_index_3,Selected the chat.,0.562783,ok,session_mode
2026-05-14T08:59:40Z,en,send message,session_send,ok,Sent.,0.356407,ok,session_mode
2026-05-14T08:59:48Z,en,select third chat,session_select_chat_index,ok_index_3,Selected the chat.,0.556916,ok,session_mode
2026-05-14T08:59:57Z,en,type ok thank you,session_type_text,ok,Typed.,0.610224,ok,session_mode
2026-05-14T09:00:05Z,en,send message,session_send,ok,Sent.,0.352728,ok,session_mode
2026-05-14T09:00:13Z,en,search user PG,session_search_chat,ok,Search updated.,1.169904,ok,session_mode
2026-05-14T09:00:22Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.562606,ok,session_mode
2026-05-14T09:00:31Z,en,clear search,session_clear_search,ok,Cleared the search.,1.292065,ok,session_mode
2026-05-14T09:00:40Z,en,select third chat,session_select_chat_index,ok_index_3,Selected the chat.,0.558178,ok,session_mode
2026-05-14T09:00:49Z,en,stop automation,session_stop,,Session stopped.,0.000065,ok,session_mode
2026-05-14T13:26:18Z,zh,我想知道计算机科系在未来20年还吃香吗,none,,未识别为系统指令。你可以说：计时、截图、打开 YouTube、或网页搜索。,0.005051,no_match,no_match
2026-05-14T13:27:04Z,zh,你能告诉我计算机科系在未来20年还能吃香吗,none,,未识别为系统指令。你可以说：计时、截图、打开 YouTube、或网页搜索。,0.006527,no_match,no_match
2026-05-14T13:28:34Z,zh,请打开聊天应用,session_whatsapp,whatsapp,自动化运行中在 WhatsApp ,2.293984,ok,
2026-05-14T13:36:37Z,zh,请打开聊天应用,session_whatsapp,whatsapp,自动化运行中在 WhatsApp ,2.220651,ok,
2026-05-14T13:36:53Z,zh,select first chat,session_select_chat_index,ok_index_1,已选择聊天。,0.564126,ok,session_mode
2026-05-14T13:37:06Z,zh,type 正在来着,session_type_text,ok,已输入。,0.772059,ok,session_mode
2026-05-14T13:37:25Z,zh,send,session_send,ok,已发送。,0.353605,ok,session_mode
2026-05-14T13:37:37Z,zh,选,session_unparsed,选,未识别该指令。可尝试搜索、播放第一个、暂停，或说停止自动化。,0.000056,no_match,session_no_match
2026-05-14T13:37:56Z,zh,select second chat,session_select_chat_index,ok_index_2,已选择聊天。,0.558315,ok,session_mode
2026-05-14T13:38:09Z,zh,type 好的,session_type_text,ok,已输入。,0.500179,ok,session_mode
2026-05-14T13:38:39Z,zh,clear message,session_clear_message,ok,已清空消息。,0.457553,ok,session_mode
2026-05-14T13:38:51Z,zh,stop automation,session_stop,,已结束会话。,0.000065,ok,session_mode
2026-05-14T13:55:42Z,en,please open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.226880,ok,
2026-05-14T13:55:59Z,en,search chat,session_search,,"I did not understand that command. Try search, play first, pause, or stop automation.",0.001749,ok,session_mode
2026-05-14T13:56:12Z,en,select third check,session_unparsed,select third check,"I did not understand that command. Try search, play first, pause, or stop automation.",0.000068,no_match,session_no_match
2026-05-14T13:56:24Z,en,stop automation,session_stop,,Session stopped.,0.000057,ok,session_mode
2026-05-14T15:17:11Z,zh,请帮我打开油管,session_youtube,youtube,"CDP connect failed (http://127.0.0.1:9222). Start Edge with --remote-debugging-port matching this URL. Underlying error: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222
Call log:
  - <ws preparing> retrieving websocket url from http://127.0.0.1:9222
",0.838410,fail,fail
2026-05-14T15:18:13Z,zh,请帮我打开油管,session_youtube,youtube,自动化运行中在 YouTube ,4.312651,ok,
2026-05-14T15:18:33Z,zh,search 周杰伦,session_search,ok,完成。,3.546017,ok,session_mode
2026-05-14T15:18:49Z,zh,play first,session_play_first,ok,正在播放第一个视频。,1.655343,ok,session_mode
2026-05-14T15:19:09Z,zh,pause video,session_pause,ok,已暂停。,0.072295,ok,session_mode
2026-05-14T15:19:27Z,zh,stop automation,session_stop,,已结束会话。,0.109905,ok,session_mode
2026-05-15T15:29:05Z,en,please open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.579265,ok,
2026-05-15T15:29:23Z,en,Select second chat,session_select_chat_index,ok_index_2,Selected the chat.,0.560798,ok,session_mode
2026-05-15T15:29:38Z,en,pipe ok no problem,session_unparsed,pipe ok no problem,"I did not understand that command. Try search, play first, pause, or stop automation.",0.000070,no_match,session_no_match
2026-05-15T15:29:51Z,en,pipe ok no problem,session_unparsed,pipe ok no problem,"I did not understand that command. Try search, play first, pause, or stop automation.",0.000047,no_match,session_no_match
2026-05-15T15:30:04Z,en,could you type no problem,session_type_text,ok,Typed.,0.562445,ok,session_mode
2026-05-15T15:30:13Z,en,remove message,session_clear_message,ok,Cleared the message.,0.454448,ok,session_mode
2026-05-15T15:30:21Z,en,search user y r n,session_search_chat,ok,Search updated.,1.263228,ok,session_mode
2026-05-15T15:30:32Z,en,clear search,session_clear_search,ok,Cleared the search.,1.259712,ok,session_mode
2026-05-15T15:30:41Z,en,select third chat,session_select_chat_index,ok_index_3,Selected the chat.,0.558042,ok,session_mode
2026-05-15T15:30:50Z,en,search user y r n,session_search_chat,ok,Search updated.,1.265991,ok,session_mode
2026-05-15T15:31:00Z,en,search user y r n,session_search_chat,ok,Search updated.,1.267967,ok,session_mode
2026-05-15T15:31:15Z,en,search user ABC,session_search_chat,ok,Search updated.,1.212675,ok,session_mode
2026-05-15T15:31:24Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.566201,ok,session_mode
2026-05-15T15:31:33Z,en,clear search,session_clear_search,ok,Cleared the search.,1.266199,ok,session_mode
2026-05-15T15:31:43Z,en,stop operation,session_stop,,Session stopped.,0.000070,ok,session_mode
2026-05-16T08:27:15Z,en,good morning please open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.342306,ok,
2026-05-16T08:27:27Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.579091,ok,session_mode
2026-05-16T08:27:49Z,en,please type oh my god,session_type_text,ok,Typed.,0.579784,ok,session_mode
2026-05-16T08:28:15Z,en,search user y a n,session_search_chat,ok,Search updated.,1.338961,ok,session_mode
2026-05-16T08:28:25Z,en,clear search,session_clear_search,ok,Cleared the search.,1.285813,ok,session_mode
2026-05-16T08:28:35Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.594831,ok,session_mode
2026-05-16T08:28:44Z,en,send,session_send,ok,Sent.,0.431891,ok,session_mode
2026-05-16T08:28:53Z,en,search user PG,session_search_chat,ok,Search updated.,1.313249,ok,session_mode
2026-05-16T08:29:03Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.554271,ok,session_mode
2026-05-16T08:29:12Z,en,stop automation,session_stop,,Session stopped.,0.000068,ok,session_mode
2026-05-16T08:33:38Z,en,please open Google News,session_google_news,google_news,Automation is running on Google News.,3.698132,ok,
2026-05-16T08:33:53Z,en,search for news in USA and China,session_search,ok,Done.,1.032827,ok,session_mode
2026-05-16T08:34:07Z,en,search for news in Sabah,session_search,ok,Done.,1.097209,ok,session_mode
2026-05-16T08:34:17Z,en,search for fighting news in Kuala Lumpur,session_search,ok,Done.,0.787642,ok,session_mode
2026-05-16T08:34:37Z,en,stop automation,session_stop,,Session stopped.,0.180283,ok,session_mode
2026-05-16T08:44:24Z,zh,请帮我打开油管,session_youtube,youtube,自动化运行中在 YouTube ,3.869225,ok,
2026-05-16T08:44:46Z,zh,search 林俊杰我怀念的,session_search,ok,完成。,3.615769,ok,session_mode
2026-05-16T08:44:59Z,zh,play first,session_play_first,ok,正在播放第一个视频。,1.624783,ok,session_mode
2026-05-16T08:45:12Z,zh,pause video,session_pause,ok,已暂停。,0.055851,ok,session_mode
2026-05-16T08:45:24Z,zh,play video,session_resume,ok,已继续播放。,0.002308,ok,session_mode
2026-05-16T08:45:39Z,zh,stop automation,session_stop,,已结束会话。,0.059104,ok,session_mode
2026-05-16T08:47:44Z,en,please open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.260680,ok,
2026-05-16T08:47:57Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.559003,ok,session_mode
2026-05-16T08:48:06Z,en,stop automation,session_stop,,Session stopped.,0.000044,ok,session_mode
2026-05-17T13:42:19Z,en,hello please open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.234169,ok,
2026-05-17T13:42:31Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.560998,ok,session_mode
2026-05-17T13:42:40Z,en,please type go asla,session_type_text,ok,Typed.,0.500742,ok,session_mode
2026-05-17T13:42:48Z,en,send message,session_send,ok,Sent.,0.352286,ok,session_mode
2026-05-17T13:42:56Z,en,close automation,session_unparsed,close automation,"I did not understand that command. Try search, play first, pause, or stop automation.",0.000077,no_match,session_no_match
2026-05-17T13:43:08Z,en,stop automation,session_stop,,Session stopped.,0.000050,ok,session_mode
2026-05-18T05:57:44Z,en,good morning please open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.225541,ok,
2026-05-18T06:32:45Z,en,take screenshot,screenshot,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\System\screenshots\capture_20260518_143245.png,Screenshot saved.,0.142086,ok,
2026-05-18T07:09:50Z,en,good morning could you please open YouTube,session_youtube,youtube,"CDP connect failed (http://127.0.0.1:9222). Start Edge with --remote-debugging-port matching this URL. Underlying error: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222
Call log:
  - <ws preparing> retrieving websocket url from http://127.0.0.1:9222
",2.863518,fail,fail
2026-05-18T07:26:26Z,zh,你好能打开谷歌新闻吗,session_google_news,google_news,自动化运行中在 谷歌新闻 ,2.990451,ok,
2026-05-18T07:26:55Z,en,open YouTube,session_unparsed,open YouTube,"I did not understand that command. Try search, find, enter, or stop automation.",0.000615,no_match,session_no_match
2026-05-18T07:27:25Z,en,search news in Sabah,session_search,ok,Done.,1.075208,ok,session_mode
2026-05-18T07:28:00Z,zh,Find US News,session_search,ok,完成。,1.194324,ok,session_mode
2026-05-18T13:52:25Z,zh,请打开油管,session_youtube,youtube,自动化运行中在 YouTube ,25.490863,ok,
2026-05-18T13:53:15Z,zh,stop automation,session_stop,,已结束会话。,0.056247,ok,session_mode
2026-05-18T14:01:18Z,zh,请帮我截图,screenshot,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\System\screenshots\capture_20260518_220118.png,截图已保存。,0.130712,ok,
2026-05-18T14:06:21Z,zh,请打开WhatsApp,session_whatsapp,whatsapp,自动化运行中在 WhatsApp ,2.247361,ok,
2026-05-18T14:06:41Z,zh,stop automation,session_stop,,已结束会话。,0.000267,ok,session_mode
2026-05-18T14:18:18Z,zh,请问一加一等于多少,none,,未识别为系统指令。你可以说：计时、截图、打开 YouTube、或网页搜索。,0.004690,no_match,no_match
2026-05-18T14:19:56Z,zh,一加一是什么答案,none,,未识别为系统指令。你可以说：计时、截图、打开 YouTube、或网页搜索。,0.000240,no_match,no_match
2026-05-18T14:21:15Z,en,what is the meaning of computer science in software engineering,none,,"I didn't match a system command. You can say: set a timer, take a screenshot, open YouTube, or search the web.",0.000173,no_match,no_match
2026-05-18T15:39:48Z,en,please open YouTube,session_youtube,youtube,Automation is running on YouTube.,4.032646,ok,
2026-05-18T15:40:14Z,en,search Justin Bieber daisies,session_search,ok,Done.,3.655471,ok,session_mode
2026-05-18T15:40:30Z,en,stop automation,session_stop,,Session stopped.,0.072045,ok,session_mode
2026-05-18T15:45:55Z,en,please open Google Maps,session_google_maps,google_maps,Automation is running on Google Maps.,3.054842,ok,
2026-05-18T15:46:09Z,en,search Melaka sentral,session_search,ok,Done.,1.124104,ok,session_mode
2026-05-18T15:46:19Z,en,stop automation,session_stop,,Session stopped.,0.092534,ok,session_mode
2026-05-18T15:46:35Z,en,open YouTube,session_youtube,youtube,Automation is running on YouTube.,2.025457,ok,
2026-05-18T15:46:52Z,en,search Justin Bieber daisies,session_search,ok,Done.,3.506817,ok,session_mode
2026-05-18T15:47:04Z,en,play first,session_play_first,ok,Playing the first video.,1.650599,ok,session_mode
2026-05-18T15:47:39Z,en,pause video,session_pause,ok,Paused.,0.081466,ok,session_mode
2026-05-18T15:47:49Z,en,resume music,session_resume,ok,Resumed.,0.001632,ok,session_mode
2026-05-18T15:47:57Z,en,stop automation,session_stop,,Session stopped.,0.048292,ok,session_mode
2026-05-18T15:48:09Z,en,open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.290242,ok,
2026-05-18T15:48:21Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.557164,ok,session_mode
2026-05-18T15:48:30Z,en,search user PG,session_search_chat,ok,Search updated.,1.174320,ok,session_mode
2026-05-18T15:48:41Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.557533,ok,session_mode
2026-05-18T15:48:50Z,en,clear search,session_clear_search,ok,Cleared the search.,1.264136,ok,session_mode
2026-05-18T15:49:00Z,en,selecta chat,session_unparsed,selecta chat,"I did not understand that command. Try search, play first, pause, or stop automation.",0.000046,no_match,session_no_match
2026-05-18T15:49:12Z,en,select third chat,session_select_chat_index,ok_index_3,Selected the chat.,0.582370,ok,session_mode
2026-05-18T15:49:21Z,en,stop automation,session_stop,,Session stopped.,0.000042,ok,session_mode
2026-05-18T15:49:40Z,zh,打开谷歌新闻,session_google_news,google_news,自动化运行中在 谷歌新闻 ,1.973250,ok,
2026-05-18T15:49:58Z,zh,search 美国新闻,session_search,"Cannot switch to a different thread
	Current:  <greenlet.greenlet object at 0x000002BAED597080 (otid=0x000002BAEC0A3A20) current active started main>
	Expected: <greenlet.greenlet object at 0x000002BAEB01E9C0 (otid=0x000002BAC096A170) suspended active started main>",操作失败，请重试或说停止自动化。,0.060977,ok,session_mode
2026-05-18T15:51:04Z,zh,search 美国新闻,session_search,"Cannot switch to a different thread
	Current:  <greenlet.greenlet object at 0x000002BAED597080 (otid=0x000002BAEC0A3A20) current active started main>
	Expected: <greenlet.greenlet object at 0x000002BAEB01E9C0 (otid=0x000002BAC096A170) suspended active started main>",操作失败，请重试或说停止自动化。,0.008279,ok,session_mode
2026-05-18T15:51:37Z,zh,type 美国新闻,session_type_text,"Cannot switch to a different thread
	Current:  <greenlet.greenlet object at 0x000002BAED597080 (otid=0x000002BAEC0A3A20) current active started main>
	Expected: <greenlet.greenlet object at 0x000002BAEB01E9C0 (otid=0x000002BAC096A170) suspended active started main>",操作失败，请重试或说停止自动化。,0.011678,ok,session_mode
2026-05-18T15:51:50Z,zh,stop automation,session_stop,,已结束会话。,0.081375,ok,session_mode
2026-05-18T15:52:34Z,zh,打开谷歌新闻,session_google_news,google_news,自动化运行中在 谷歌新闻 ,1.843279,ok,
2026-05-18T15:52:48Z,zh,search 美国新闻,session_search,"Cannot switch to a different thread
	Current:  <greenlet.greenlet object at 0x000002BAEB01E9C0 (otid=0x000002BAC096A170) current active started main>
	Expected: <greenlet.greenlet object at 0x000002BAED597080 (otid=0x000002BAEC0A3A20) suspended active started main>",操作失败，请重试或说停止自动化。,0.013122,ok,session_mode
2026-05-18T15:53:00Z,zh,stop automation,session_stop,,已结束会话。,0.121773,ok,session_mode
2026-05-18T15:53:14Z,zh,打开油管,session_youtube,youtube,自动化运行中在 YouTube ,3.461973,ok,
2026-05-18T15:53:30Z,zh,search 林俊杰我怀念的,session_search,"Cannot switch to a different thread
	Current:  <greenlet.greenlet object at 0x000002BAED597080 (otid=0x000002BAEC0A3A20) current active started main>
	Expected: <greenlet.greenlet object at 0x000002BAEB01E9C0 (otid=0x000002BAC096A170) suspended active started main>",操作失败，请重试或说停止自动化。,0.011637,ok,session_mode
2026-05-18T15:53:43Z,zh,stop automation,session_stop,,已结束会话。,0.050719,ok,session_mode
2026-05-18T15:53:57Z,zh,打开聊天应用,session_whatsapp,whatsapp,自动化运行中在 WhatsApp ,2.196307,ok,
2026-05-18T15:54:13Z,zh,select first chat,session_select_chat_index,ok_index_1,已选择聊天。,0.561315,ok,session_mode
2026-05-18T15:54:24Z,zh,search chat 你好,session_search_chat,ok,已更新搜索。,1.775054,ok,session_mode
2026-05-18T15:54:37Z,zh,select first chat,session_select_chat_index,ok_index_1,已选择聊天。,0.585079,ok,session_mode
2026-05-18T15:54:52Z,zh,clear search,session_clear_search,ok,已清空搜索。,1.266580,ok,session_mode
2026-05-18T15:55:04Z,zh,select first chat,session_select_chat_index,ok_index_1,已选择聊天。,0.675830,ok,session_mode
2026-05-18T15:55:17Z,zh,type 你好,session_type_text,ok,已输入。,0.492199,ok,session_mode
2026-05-18T15:55:30Z,zh,clear conversation,session_unparsed,clear conversation,未识别该指令。可尝试搜索、播放第一个、暂停，或说停止自动化。,0.000067,no_match,session_no_match
2026-05-18T15:55:47Z,zh,clear input,session_unparsed,clear input,未识别该指令。可尝试搜索、播放第一个、暂停，或说停止自动化。,0.000052,no_match,session_no_match
2026-05-18T15:56:11Z,zh,clear message,session_clear_message,ok,已清空消息。,0.455141,ok,session_mode
2026-05-18T15:56:22Z,zh,stop automation,session_stop,,已结束会话。,0.000058,ok,session_mode
2026-05-18T16:04:36Z,en,open my downloads,open_folder,C:\Users\Acer\Downloads,Opening your downloads folder.,0.162973,ok,
2026-05-18T16:04:51Z,en,open WhatsApp,session_whatsapp,whatsapp,Automation is running on WhatsApp.,2.349720,ok,
2026-05-18T16:05:03Z,en,selecta chat,session_unparsed,selecta chat,"I did not understand that command. Try search, play first, pause, or stop automation.",0.002286,no_match,session_no_match
2026-05-18T16:05:16Z,en,select third chat,session_select_chat_index,ok_index_3,Selected the chat.,0.611984,ok,session_mode
2026-05-18T16:05:25Z,en,search user PG,session_search_chat,ok,Search updated.,1.175670,ok,session_mode
2026-05-18T16:05:36Z,en,select first chat,session_select_chat_index,ok_index_1,Selected the chat.,0.556675,ok,session_mode
2026-05-18T16:05:45Z,en,clear search,session_clear_search,ok,Cleared the search.,1.263641,ok,session_mode
2026-05-18T16:05:55Z,en,Select second chat,session_select_chat_index,ok_index_2,Selected the chat.,0.559286,ok,session_mode
2026-05-18T16:06:04Z,en,type message hello,session_type_text,ok,Typed.,0.628093,ok,session_mode
2026-05-18T16:06:13Z,en,clear message,session_clear_message,ok,Cleared the message.,0.455106,ok,session_mode
2026-05-18T16:06:22Z,en,stop automation,session_stop,,Session stopped.,0.000062,ok,session_mode
2026-05-18T16:06:40Z,en,please open YouTube,session_youtube,youtube,Automation is running on YouTube.,3.448589,ok,
2026-05-18T16:06:53Z,en,search Justin Bieber basis,session_search,ok,Done.,3.636083,ok,session_mode
2026-05-18T16:07:05Z,en,select first,session_unparsed,select first,"I did not understand that command. Try search, play first, pause, or stop automation.",0.001654,no_match,session_no_match
2026-05-18T16:07:19Z,en,play first,session_play_first,ok,Playing the first video.,1.678181,ok,session_mode
2026-05-18T16:07:29Z,en,pause video,session_pause,ok,Paused.,0.035732,ok,session_mode
2026-05-18T16:07:37Z,en,stop automation,session_stop,,Session stopped.,0.069003,ok,session_mode
2026-05-18T16:07:55Z,en,play video,media_play_pause,,Sending play or pause to the active player.,0.002911,ok,
2026-05-18T16:08:15Z,zh,请打开油管,session_youtube,youtube,自动化运行中在 YouTube ,2.613876,ok,
2026-05-18T16:08:30Z,zh,search 林俊杰我怀念的,session_search,ok,完成。,3.558580,ok,session_mode
2026-05-18T16:08:46Z,zh,play first,session_play_first,ok,正在播放第一个视频。,1.640469,ok,session_mode
